state,tier_level_value,total_plans_in_tier,distinct_rxcui,pct_plans_in_tier
  ,1,506,136123,19.984202211690363
  ,2,506,288287,19.984202211690363
  ,3,506,349411,19.984202211690363
  ,4,506,541340,19.984202211690363
  ,5,506,346196,19.984202211690363
  ,6,2,688,0.07898894154818326
AL,1,1893,1593221,20.31987977672821
AL,2,1839,1600385,19.740231859167025
AL,3,1839,1768636,19.740231859167025
AL,4,1839,2044659,19.740231859167025
AL,5,1839,1806695,19.740231859167025
AL,6,67,13333,0.7191927866036926
AR,1,2656,2786719,20.944720447914204
AR,2,2391,1884148,18.854979891175773
AR,3,2391,2014621,18.854979891175773
AR,4,2391,2423702,18.854979891175773
AR,5,2391,2139131,18.854979891175773
AR,6,461,109290,3.6353599873826985
AZ,1,365,397871,20.154610712313637
AZ,2,342,407023,18.884594146880175
AZ,3,342,283404,18.884594146880175
AZ,4,342,324886,18.884594146880175
AZ,5,342,344399,18.884594146880175
AZ,6,78,17909,4.307012700165655
CA,1,1136,1067316,19.756521739130434
CA,2,1024,1455920,17.808695652173913
CA,3,1024,694747,17.808695652173913
CA,4,1024,774072,17.808695652173913
CA,5,1024,1048073,17.808695652173913
CA,6,518,115139,9.008695652173913
CO,1,1417,812387,19.617887304444135
CO,2,1417,1159421,19.617887304444135
CO,3,1417,1303889,19.617887304444135
CO,4,1417,1438439,19.617887304444135
CO,5,1417,1304973,19.617887304444135
CO,6,138,21684,1.9105634777793161
CT,1,260,172765,18.786127167630056
CT,2,252,249263,18.208092485549134
CT,3,252,203866,18.208092485549134
CT,4,252,293267,18.208092485549134
CT,5,252,247137,18.208092485549134
CT,6,116,36030,8.38150289017341
DC,1,17,6923,19.318181818181817
DC,2,17,14353,19.318181818181817
DC,3,17,11834,19.318181818181817
DC,4,17,13577,19.318181818181817
DC,5,17,14063,19.318181818181817
DC,6,3,180,3.409090909090909
DE,1,78,75669,20.3125
DE,2,75,58770,19.53125
DE,3,75,57561,19.53125
DE,4,75,67986,19.53125
DE,5,75,62028,19.53125
DE,6,6,867,1.5625
FL,1,2508,2686776,20.737555812799734
FL,2,2308,2291093,19.083843228046966
FL,3,2308,1896899,19.083843228046966
FL,4,2308,2140890,19.083843228046966
FL,5,2144,1955282,17.727798908549694
FL,6,518,91504,4.283115594509674
GA,1,6117,7150699,19.42768214444515
GA,2,5855,5845186,18.595566283427555
GA,3,5855,5495160,18.595566283427555
GA,4,5855,7505821,18.595566283427555
GA,5,5855,6537616,18.595566283427555
GA,6,1949,629146,6.190052721844629
HI,1,77,103915,24.67948717948718
HI,2,57,49368,18.26923076923077
HI,3,57,43379,18.26923076923077
HI,4,57,43185,18.26923076923077
HI,5,57,48511,18.26923076923077
HI,6,7,609,2.2435897435897436
IA,1,2001,2202760,20.244840145690006
IA,2,1879,1541189,19.010522055847836
IA,3,1879,1860020,19.010522055847836
IA,4,1879,2340114,19.010522055847836
IA,5,1879,1900219,19.010522055847836
IA,6,367,122970,3.713071630918656
ID,1,585,298303,19.24342105263158
ID,2,572,403700,18.81578947368421
ID,3,572,523359,18.81578947368421
ID,4,572,536980,18.81578947368421
ID,5,572,475143,18.81578947368421
ID,6,167,31730,5.493421052631579
IL,1,2188,2333952,19.245316210748527
IL,2,2188,2930154,19.245316210748527
IL,3,2181,1748925,19.18374527223151
IL,4,2181,2275851,19.18374527223151
IL,5,2181,2215336,19.18374527223151
IL,6,450,118053,3.9581317618084264
IN,1,3652,1977867,18.752246469833118
IN,2,3631,3306193,18.64441591784339
IN,3,3631,2932398,18.64441591784339
IN,4,3631,4027319,18.64441591784339
IN,5,3631,3379728,18.64441591784339
IN,6,1299,492187,6.670089858793324
KS,1,1129,1157085,20.085394057996798
KS,2,1060,888715,18.85785447429283
KS,3,1060,809557,18.85785447429283
KS,4,1060,1116101,18.85785447429283
KS,5,1060,936562,18.85785447429283
KS,6,252,69398,4.483188044831881
KY,1,4273,3989055,18.957409050576754
KY,2,4243,2944031,18.824312333629102
KY,3,4243,3336120,18.824312333629102
KY,4,4243,4333189,18.824312333629102
KY,5,4243,3455780,18.824312333629102
KY,6,1295,360232,5.745341614906832
LA,1,1898,1675273,20.373550880206096
LA,2,1764,1665961,18.935165306998712
LA,3,1764,1625014,18.935165306998712
LA,4,1764,2126551,18.935165306998712
LA,5,1764,1794587,18.935165306998712
LA,6,362,119935,3.8857878917990556
MA,1,278,325618,18.70794078061911
MA,2,278,408955,18.70794078061911
MA,3,278,295446,18.70794078061911
MA,4,278,286376,18.70794078061911
MA,5,278,327517,18.70794078061911
MA,6,96,13060,6.460296096904441
MD,1,360,638095,21.699819168173597
MD,2,315,363630,18.9873417721519
MD,3,315,284729,18.9873417721519
MD,4,315,295028,18.9873417721519
MD,5,315,336223,18.9873417721519
MD,6,39,2260,2.3508137432188065
ME,1,355,332090,20.21640091116173
ME,2,325,321202,18.507972665148063
ME,3,325,265553,18.507972665148063
ME,4,325,362290,18.507972665148063
ME,5,325,313654,18.507972665148063
ME,6,101,39712,5.751708428246014
MI,1,2615,1848744,19.172959894420412
MI,2,2615,3498733,19.172959894420412
MI,3,2615,2622195,19.172959894420412
MI,4,2615,3409276,19.172959894420412
MI,5,2615,3185556,19.172959894420412
MI,6,564,182902,4.13520052789794
MN,1,1707,2085942,20.011723329425557
MN,2,1689,1487985,19.800703399765535
MN,3,1689,1389588,19.800703399765535
MN,4,1689,1776535,19.800703399765535
MN,5,1689,1539405,19.800703399765535
MN,6,67,11542,0.7854630715123095
MO,1,2767,2373611,19.539580538097592
MO,2,2680,2169571,18.925217145681803
MO,3,2680,2123030,18.925217145681803
MO,4,2680,3042650,18.925217145681803
MO,5,2680,2416391,18.925217145681803
MO,6,674,205103,4.759550879175199
MS,1,2343,2284621,20.135785493296666
MS,2,2226,1747851,19.130285321416295
MS,3,2226,1759551,19.130285321416295
MS,4,2226,2262503,19.130285321416295
MS,5,2226,1928355,19.130285321416295
MS,6,389,91513,3.3430732210381575
MT,1,493,225150,20.0
MT,2,493,304049,20.0
MT,3,493,439397,20.0
MT,4,493,509376,20.0
MT,5,493,407715,20.0
NC,1,3881,3373554,19.400149962509374
NC,2,3831,3032609,19.15021244688828
NC,3,3831,3362384,19.15021244688828
NC,4,3831,4016624,19.15021244688828
NC,5,3831,3469503,19.15021244688828
NC,6,800,186437,3.9990002499375157
ND,1,566,224904,19.147496617050066
ND,2,566,438034,19.147496617050066
ND,3,566,455884,19.147496617050066
ND,4,566,520898,19.147496617050066
ND,5,566,490396,19.147496617050066
ND,6,126,30103,4.2625169147496615
NE,1,1240,815879,19.362898188632105
NE,2,1240,1454364,19.362898188632105
NE,3,1240,1337701,19.362898188632105
NE,4,1240,1861229,19.362898188632105
NE,5,1240,1575246,19.362898188632105
NE,6,204,99954,3.1855090568394755
NH,1,154,113770,18.576598311218337
NH,2,154,146125,18.576598311218337
NH,3,154,143882,18.576598311218337
NH,4,154,174322,18.576598311218337
NH,5,154,155245,18.576598311218337
NH,6,59,15672,7.117008443908324
NJ,1,668,514657,19.140401146131804
NJ,2,667,566717,19.111747851002864
NJ,3,667,526129,19.111747851002864
NJ,4,667,753804,19.111747851002864
NJ,5,667,618425,19.111747851002864
NJ,6,154,52177,4.412607449856734
NM,1,738,489244,21.079691516709513
NM,2,680,441170,19.42302199371608
NM,3,680,579543,19.42302199371608
NM,4,680,644433,19.42302199371608
NM,5,680,544661,19.42302199371608
NM,6,43,7360,1.228220508426164
NV,1,203,124362,19.278252611585945
NV,2,195,202025,18.51851851851852
NV,3,195,147337,18.51851851851852
NV,4,195,185086,18.51851851851852
NV,5,195,182572,18.51851851851852
NV,6,70,15462,6.647673314339981
NY,1,2098,2662131,20.361024844720497
NY,2,1912,2264623,18.555900621118013
NY,3,1912,1418081,18.555900621118013
NY,4,1912,1866479,18.555900621118013
NY,5,1912,1917897,18.555900621118013
NY,6,558,142512,5.415372670807454
OH,1,3963,3559791,18.952654232424678
OH,2,3931,3986560,18.799617407938786
OH,3,3931,4418681,18.799617407938786
OH,4,3931,5325057,18.799617407938786
OH,5,3931,4597802,18.799617407938786
OH,6,1223,399242,5.8488761358201815
OK,1,1667,1238648,20.282272782576957
OK,2,1586,1168701,19.296751429614307
OK,3,1586,1347445,19.296751429614307
OK,4,1586,1615132,19.296751429614307
OK,5,1586,1378279,19.296751429614307
OK,6,208,55028,2.530721498965811
OR,1,438,314521,19.084967320261438
OR,2,431,492622,18.77995642701525
OR,3,431,336590,18.77995642701525
OR,4,431,377380,18.77995642701525
OR,5,430,411376,18.736383442265794
OR,6,134,28693,5.8387799564270155
PA,1,3357,3270130,19.497037983505635
PA,2,3271,3674360,18.99756069229876
PA,3,3271,3081853,18.99756069229876
PA,4,3271,4008302,18.99756069229876
PA,5,3271,3787448,18.99756069229876
PA,6,777,137868,4.512719247299338
PR,1,3436,2849194,16.5009844883062
PR,2,3241,6570435,15.564520001920952
PR,3,3241,858247,15.564520001920952
PR,4,3241,595871,15.564520001920952
PR,5,3241,1892339,15.564520001920952
PR,6,3241,1033815,15.564520001920952
PR,7,1182,15366,5.676415502089037
RI,1,96,53321,20.0
RI,2,96,64668,20.0
RI,3,96,78479,20.0
RI,4,96,98160,20.0
RI,5,96,78542,20.0
SC,1,1792,1797030,20.345140781108082
SC,2,1701,1393544,19.31198910081744
SC,3,1701,1364205,19.31198910081744
SC,4,1701,1745923,19.31198910081744
SC,5,1701,1431378,19.31198910081744
SC,6,212,66622,2.4069028156221615
SD,1,726,323763,19.611021069692057
SD,2,726,535301,19.611021069692057
SD,3,726,605708,19.611021069692057
SD,4,726,679384,19.611021069692057
SD,5,726,622892,19.611021069692057
SD,6,72,14364,1.9448946515397083
TN,1,3345,3538574,19.822222222222223
TN,2,3190,2715607,18.903703703703705
TN,3,3190,2377880,18.903703703703705
TN,4,3190,3118896,18.903703703703705
TN,5,3190,2758764,18.903703703703705
TN,6,770,227388,4.562962962962963
TX,1,5026,5915106,20.462503053497272
TX,2,4552,3768930,18.53269277746112
TX,3,4552,4077558,18.53269277746112
TX,4,4552,5151995,18.53269277746112
TX,5,4552,4343679,18.53269277746112
TX,6,1328,383868,5.406725836658253
UT,1,429,260648,20.037365716954692
UT,2,428,342475,19.990658570761326
UT,3,428,437922,19.990658570761326
UT,4,428,438429,19.990658570761326
UT,5,428,393936,19.990658570761326
VA,1,4162,2508358,18.677915900013463
VA,2,4162,3877324,18.677915900013463
VA,3,4162,4179135,18.677915900013463
VA,4,4162,5777365,18.677915900013463
VA,5,4162,4500205,18.677915900013463
VA,6,1473,456988,6.610420499932684
VT,1,62,23014,18.34319526627219
VT,2,62,45948,18.34319526627219
VT,3,62,59660,18.34319526627219
VT,4,62,63196,18.34319526627219
VT,5,62,61130,18.34319526627219
VT,6,28,6846,8.284023668639053
WA,1,990,1284764,21.08626198083067
WA,2,878,749808,18.700745473908412
WA,3,878,771498,18.700745473908412
WA,4,878,886226,18.700745473908412
WA,5,878,816669,18.700745473908412
WA,6,193,58350,4.110756123535676
WI,1,1362,1411138,18.601475006828736
WI,2,1336,1278837,18.246380770281345
WI,3,1336,1461983,18.246380770281345
WI,4,1336,1837539,18.246380770281345
WI,5,1336,1508098,18.246380770281345
WI,6,616,203037,8.413001912045889
WV,1,1499,1153399,20.380693405846362
WV,2,1464,1155714,19.90482664853841
WV,3,1464,1204367,19.90482664853841
WV,4,1464,1460224,19.90482664853841
WV,5,1464,1279489,19.90482664853841
WY,1,94,45438,20.0
WY,2,94,59278,20.0
WY,3,94,86254,20.0
WY,4,94,96062,20.0
WY,5,94,79414,20.0
